    0.000000000000       00.00     
    1.000000000000       01.00     
    2.000000000000       02.00     
    3.000000000000       03.00     
    4.000000000000       04.00     
    5.000000000000       05.00     
    6.000000000000       06.00     
    7.000000000000       07.00     
    8.000000000000       08.00     
    9.000000000000       09.00     
  0.100000000000000        6.00000000000000       -1.88817529300000     
  0.100000000000000        6.10000000000000       -1.88359738049000     
  0.100000000000000        6.20000000000000       -1.87901946798000     
  0.100000000000000        6.30000000000000       -1.87444155547000     
  0.100000000000000        6.40000000000000       -1.86986364296000     
  0.100000000000000        6.50000000000000       -1.86528573045000     
  0.100000000000000        6.60000000000000       -1.86070781794000     
  0.100000000000000        6.70000000000000       -1.85612990543000     
  0.100000000000000        6.80000000000000       -1.85155199292000     
  0.100000000000000        6.90000000000000       -1.84697408041000     
  0.100000000000000        7.00000000000000       -1.84239616790000     
  0.100000000000000        7.10000000000000       -1.83901577808000     
  0.100000000000000        7.20000000000000       -1.83563538826000     
  0.100000000000000        7.30000000000000       -1.83225499844000     
  0.100000000000000        7.40000000000000       -1.82887460862000     
  0.100000000000000        7.50000000000000       -1.82549421880000     
  0.100000000000000        7.60000000000000       -1.82211382898000     
  0.100000000000000        7.70000000000000       -1.81873343916000     
  0.100000000000000        7.80000000000000       -1.81535304934000     
  0.100000000000000        7.90000000000000       -1.81197265952000     
  0.100000000000000        8.00000000000000       -1.80859226970000     
  0.100000000000000        8.10000000000000       -1.80599818535000     
  0.100000000000000        8.20000000000000       -1.80340410100000     
  0.100000000000000        8.30000000000000       -1.80081001665000     
  0.100000000000000        8.40000000000000       -1.79821593230000     
  0.100000000000000        8.50000000000000       -1.79562184795000     
  0.100000000000000        8.60000000000000       -1.79302776360000     
  0.100000000000000        8.70000000000000       -1.79043367925000     
  0.100000000000000        8.80000000000000       -1.78783959490000     
  0.100000000000000        8.90000000000000       -1.78524551055000     
  0.100000000000000        9.00000000000000       -1.78265142620000     
  0.100000000000000        9.10000000000000       -1.78060064562000     
  0.100000000000000        9.20000000000000       -1.77854986504000     
  0.100000000000000        9.30000000000000       -1.77649908446000     
  0.100000000000000        9.40000000000000       -1.77444830388000     
  0.100000000000000        9.50000000000000       -1.77239752330000     
  0.100000000000000        9.60000000000000       -1.77034674272000     
  0.100000000000000        9.70000000000000       -1.76829596214000     
  0.100000000000000        9.80000000000000       -1.76624518156000     
  0.100000000000000        9.90000000000000       -1.76419440098000     
  0.100000000000000        10.0000000000000       -1.76214362040000     
  0.100000000000000        10.1000000000000       -1.76048332470000     
  0.100000000000000        10.2000000000000       -1.75882302900000     
  0.100000000000000        10.3000000000000       -1.75716273330000     
  0.100000000000000        10.4000000000000       -1.75550243760000     
  0.100000000000000        10.5000000000000       -1.75384214190000     
  0.100000000000000        10.6000000000000       -1.75218184620000     
  0.100000000000000        10.7000000000000       -1.75052155050000     
  0.100000000000000        10.8000000000000       -1.74886125480000     
  0.100000000000000        10.9000000000000       -1.74720095910000     
  0.100000000000000        11.0000000000000       -1.74554066340000     
  0.100000000000000        11.1000000000000       -1.74417015848000     
  0.100000000000000        11.2000000000000       -1.74279965356000     
  0.100000000000000        11.3000000000000       -1.74142914864000     
  0.100000000000000        11.4000000000000       -1.74005864372000     
  0.100000000000000        11.5000000000000       -1.73868813880000     
  0.100000000000000        11.6000000000000       -1.73731763388000     
  0.100000000000000        11.7000000000000       -1.73594712896000     
  0.100000000000000        11.8000000000000       -1.73457662404000     
  0.100000000000000        11.9000000000000       -1.73320611912000     
  0.100000000000000        12.0000000000000       -1.73183561420000     
  0.100000000000000        12.1000000000000       -1.73068591294000     
  0.100000000000000        12.2000000000000       -1.72953621168000     
  0.100000000000000        12.3000000000000       -1.72838651042000     
  0.100000000000000        12.4000000000000       -1.72723680916000     
  0.100000000000000        12.5000000000000       -1.72608710790000     
  0.100000000000000        12.6000000000000       -1.72493740664000     
  0.100000000000000        12.7000000000000       -1.72378770538000     
  0.100000000000000        12.8000000000000       -1.72263800412000     
  0.100000000000000        12.9000000000000       -1.72148830286000     
  0.100000000000000        13.0000000000000       -1.72033860160000     
  0.100000000000000        13.1000000000000       -1.71936083707000     
  0.100000000000000        13.2000000000000       -1.71838307254000     
  0.100000000000000        13.3000000000000       -1.71740530801000     
  0.100000000000000        13.4000000000000       -1.71642754348000     
  0.100000000000000        13.5000000000000       -1.71544977895000     
  0.100000000000000        13.6000000000000       -1.71447201442000     
  0.100000000000000        13.7000000000000       -1.71349424989000     
  0.100000000000000        13.8000000000000       -1.71251648536000     
  0.100000000000000        13.9000000000000       -1.71153872083000     
  0.100000000000000        14.0000000000000       -1.71056095630000     
  0.100000000000000        14.1000000000000       -1.70971962775000     
  0.100000000000000        14.2000000000000       -1.70887829920000     
  0.100000000000000        14.3000000000000       -1.70803697065000     
  0.100000000000000        14.4000000000000       -1.70719564210000     
  0.100000000000000        14.5000000000000       -1.70635431355000     
  0.100000000000000        14.6000000000000       -1.70551298500000     
  0.100000000000000        14.7000000000000       -1.70467165645000     
  0.100000000000000        14.8000000000000       -1.70383032790000     
  0.100000000000000        14.9000000000000       -1.70298899935000     
  0.100000000000000        15.0000000000000       -1.70214767080000     
  0.100000000000000        15.1000000000000       -1.70141635123000     
  0.100000000000000        15.2000000000000       -1.70068503166000     
  0.100000000000000        15.3000000000000       -1.69995371209000     
  0.100000000000000        15.4000000000000       -1.69922239252000     
  0.100000000000000        15.5000000000000       -1.69849107295000     
  0.100000000000000        15.6000000000000       -1.69775975338000     
  0.100000000000000        15.7000000000000       -1.69702843381000     
